site_id,i_ref,latitude,longitude,pop,priority_category,priority_weight,slope,dist_to_road_m,in_water
J_00000,I_00245,16.472873908455245,107.61067999431421,64518.513462781906,residential,9.7,0.0,6.23924590258658,False
J_00001,I_00781,16.45396757555403,107.61918797095066,46985.47163724899,residential,7.2,0.0,17.873848314973223,False
J_00002,I_00705,16.47154095544053,107.55669854007874,27139.60578393936,residential,5.7,0.0,1.5636972832655387,False
J_00003,I_00705,16.463456332330566,107.5546957781065,26899.283321619034,residential,5.7,0.0,3.735244853765569,False
J_00004,I_00903,16.490724152243274,107.5839987846654,26381.13590979576,residential,2.2,0.0,8.1223220813652,False
J_00005,I_00423,16.468886116113154,107.5392851750938,24863.886109113693,residential,3.7,0.0,10.132817742828593,False
J_00006,I_00921,16.459945898804236,107.55707170860308,22218.78057551384,residential,5.7,0.0,8.644517207102046,False
J_00007,I_00734,16.448139316005754,107.62900374280078,21996.728146791458,residential,4.7,0.0,28.874578214626894,False
J_00008,I_00347,16.50770560492689,107.5513454513049,16959.719390153885,residential,2.2,0.0,18.377199232506484,False
J_00009,I_00800,16.535924521807456,107.68855230948327,15221.995760679245,normal,1.0,0.0,19.24419812559795,False
J_00010,I_00182,16.550328251701867,107.62620844418208,14960.421096801758,residential,2.2,0.0,1.990584203828011,False
J_00011,I_00182,16.559754907577233,107.61871360688176,14748.57853770256,residential,2.2,0.0,19.84474770648826,False
J_00012,I_00782,16.523274223294226,107.69330456813202,13763.28859090805,normal,1.0,0.0,325.05159523166805,False
J_00013,I_00227,16.273160931116365,107.87468923427582,13208.106949329376,hospitals,6.0,0.0,87.12379028576315,False
J_00014,I_00106,16.52305861296173,107.70145268388114,13054.202625513077,normal,1.0,0.0,2.7882318727641957,False
J_00015,I_00182,16.561389109775824,107.60322552654831,12008.055793046951,residential,2.2,0.0,44.21527228147305,False
J_00016,I_00946,16.53350103835496,107.54083599980493,10044.818486690521,residential,2.2,0.0,30.385997870742308,False
J_00017,I_00795,16.54518944601392,107.42752759281646,10033.370893001556,residential,3.7,0.0,141.4193409086612,False
J_00018,I_00106,16.516409753854667,107.71063204761622,9444.569459199905,normal,1.0,0.0,19.57337526449654,False
J_00019,I_00761,16.246653516500725,107.24686057726342,9390.275530338287,residential,2.2,0.0,40.82659723927474,False
J_00020,I_00896,16.450794259691136,107.72511393206908,8961.6040995121,residential,5.7,0.0,212.20505984068666,False
J_00021,I_00106,16.511533614699083,107.71541068050291,8777.479053974152,normal,1.0,0.0,1.483068752912076,False
J_00022,I_00297,16.470087079506218,107.63918470164963,8706.22388792038,residential,4.7,0.0,40.85475106661723,False
J_00023,I_00896,16.442016856115924,107.72822832866149,8617.06179523468,residential,5.7,0.0,13.298852898731177,False
J_00024,I_00978,16.506029242964782,107.62567129678767,8492.585168600082,residential,2.2,0.0,0.8550042112617061,False
J_00025,I_00670,16.579685501922715,107.58736154579384,8426.703402996063,residential,2.2,0.0,6.879641191534242,False
J_00026,I_00432,16.66393035346636,107.35559637793077,7721.702912807465,residential,2.2,0.0,111.0411725739923,False
J_00027,I_00896,16.438453094761204,107.73677161213271,7720.927286863327,residential,5.7,0.0,2.1471525865500585,False
J_00028,I_00963,16.248164304494374,107.23238633470594,7643.906046152115,residential,2.2,0.0,0.8249652580549096,False
J_00029,I_00450,16.467401830416172,107.74412044338574,7627.114346504211,residential,3.7,0.0,416.5807505408868,False
J_00030,I_00717,16.22769573648302,108.07312412860249,7503.620825052261,hospitals,6.0,0.0,239.52961893450728,False
J_00031,I_00247,16.6567619206231,107.34956146689919,7464.869326591492,residential,2.2,0.0,28.307503049035176,False
J_00032,I_00175,16.23642580060988,107.25634003768069,7240.091536998749,residential,2.2,0.0,19.015894163332774,False
J_00033,I_00247,16.649846477639887,107.33861595874995,7008.064226388931,residential,2.2,0.0,2.458158159468899,False
J_00034,I_00137,16.582166947493878,107.35875602850295,6981.727135181427,residential,3.7,0.0,28.49893481279489,False
J_00035,I_00773,16.54268106207316,107.42173424731371,6892.344208240509,residential,3.7,0.0,58.24255771270755,False
J_00036,I_00408,16.63762488123805,107.42379895451035,6840.913789272308,residential,2.2,0.0,10.05206900512606,False
J_00037,I_00724,16.161742476623008,107.72726450231792,6749.077525138855,residential,5.2,0.0,0.39097126627149914,False
J_00038,I_00577,16.4617079129225,107.7055620386572,6637.568331480026,residential,8.7,0.0,6.522703482130199,False
J_00039,I_00432,16.672385358081804,107.36627022634387,6444.887878417969,residential,2.2,0.0,8.803153208379404,False
J_00040,I_00420,16.659521457681674,107.4522269483472,5989.829201459885,residential,2.2,0.0,33.74250770473509,False
J_00041,I_00432,16.66522777932196,107.36875091304154,5959.652448892593,residential,2.2,0.0,8.04286761414291,False
J_00042,I_00232,16.660820621499212,107.38427458078797,5584.462120294571,residential,2.2,0.0,26.416919558263952,False
J_00043,I_00873,16.62511390305801,107.5150854990652,5546.361972808838,residential,2.2,0.0,21.038190054892087,False
J_00044,I_00205,16.59440422417168,107.38514305632125,5511.441122770309,residential,3.7,0.0,485.6148963076508,False
J_00045,I_00316,16.290663014244483,107.98452104257805,5459.373615026474,residential,2.2,0.0,159.6196152363584,False
J_00046,I_00873,16.633195073021646,107.507332913964,5234.534997701645,residential,2.2,0.0,12.378000140034256,False
J_00047,I_00420,16.64547217362694,107.47963578206634,5171.798586130142,residential,2.2,0.0,2.2985713329056683,False
J_00048,I_00316,16.275156728172423,107.9790458824707,4683.084623575211,residential,2.2,0.0,7.655580688989499,False
J_00049,I_00595,16.34363572772629,107.9189163333372,4667.591073036194,residential,3.7,0.0,190.3291609564881,False
J_00050,I_00229,16.570555932832004,107.34394499346718,4559.569118261337,residential,2.2,0.0,2.385862709455851,False
J_00051,I_00165,16.50665956554493,107.64903907436688,4222.833685398102,residential,2.2,0.0,284.60068269562817,False
J_00052,I_00945,16.448260129769277,107.64861740367776,4199.830918073654,normal,1.0,0.0,291.4575859257241,False
J_00053,I_00420,16.664330238141044,107.44405209681626,3681.352845430374,residential,2.2,0.0,48.22613012618787,False
J_00054,I_00848,16.710100944408335,107.36367785595425,3669.2221257686615,residential,2.2,0.0,12.129107067875122,False
J_00055,I_00512,16.480897966159755,107.68092090339064,3662.670471906662,normal,1.0,0.0,1.7398981356696648,False
J_00056,I_00900,16.14765835550746,107.73729962770445,3592.551490545273,residential,2.2,0.0,18.523602857409593,False
J_00057,I_00315,16.373443668977306,107.85603136854854,3421.6071960926056,normal,1.0,0.0,117.78070042674453,False
J_00058,I_00190,16.236211589375223,107.22393073902195,3133.015370607376,residential,2.2,0.0,0.7629235911028599,False
J_00059,I_00350,16.410861708638596,107.70818685325207,2994.926378965378,residential,2.2,0.0,2.198581292614281,False
J_00060,I_00144,16.421865835419105,107.82715158327233,2875.6269142627716,normal,1.0,0.0,5.631584620958986,False
J_00061,I_00740,16.307299072885844,107.99887024033504,2438.4505565166473,residential,2.2,0.0,87.99955016391995,False
J_00062,I_00852,16.125824585720828,107.33690100951722,2383.540382385254,residential,4.2,0.0,2.0929128794262293,False
J_00063,I_00904,16.11106359177746,107.34592868505219,2377.3119554519653,residential,4.2,0.0,3.164950540698553,False
J_00064,I_00262,16.397552183845967,107.73878502140444,2284.166388988495,residential,2.2,0.0,8.520953991682287,False
J_00065,I_00709,16.282173515285585,108.00397198020617,2275.9634323120117,normal,1.0,0.0,14.26013772973256,False
J_00066,I_00098,16.313228802378926,108.00400545253143,2252.5121269226074,residential,2.2,0.0,126.81603734016011,False
J_00067,I_00999,16.096950630612657,107.33875248677712,2138.989900827408,residential,4.2,0.0,8.110008960147182,False
J_00068,I_00305,16.393605717506578,107.47491737817751,1897.3122432231903,normal,1.0,0.0,0.5684313977049384,False
J_00069,I_00376,16.586617352569917,107.32618309940085,1887.231938123703,residential,2.2,0.0,197.11727235789195,False
J_00070,I_00709,16.271244454586103,108.00910347085969,1876.2372987270355,normal,1.0,0.0,3.6349014518892004,False
J_00071,I_00542,16.30225806317275,107.20372544535816,1868.5835921764374,residential,2.2,0.0,7.453708925168749,False
J_00072,I_00914,16.402115481041722,107.47520524289446,1710.2331523895264,normal,1.0,0.0,0.4318119686831622,False
J_00073,I_00276,16.52378765566236,107.3139491709039,1691.6077601909637,residential,2.2,0.0,0.40462450040840964,False
J_00074,I_00489,16.086551495132397,107.35884214702253,1656.663088798523,residential,2.2,0.0,77.37930732272991,False
J_00075,I_00276,16.523931313921075,107.32725410709553,1595.2449660301208,residential,2.2,0.0,9.600190470621015,False
J_00076,I_00770,16.480643081216858,107.47700505517271,1421.154422044754,normal,1.0,0.0,13.460323682959615,False
J_00077,I_00482,16.535483366486226,107.31505993488494,1338.0431566238403,residential,2.2,0.0,5.797096960943751,False
J_00078,I_00028,16.381819827596345,107.05380788572604,1334.5194754600525,residential,2.2,0.0,37.5067198377891,False
J_00079,I_00977,16.327586846766124,107.17172432241124,1178.215073108673,residential,2.2,0.0,18.82790609154032,False
J_00080,I_00439,16.367586886950164,107.12413208129658,1137.4674816131592,residential,2.2,0.0,108.82496878502059,False
J_00081,I_00406,16.517165018434337,107.28383748871839,1122.2239468097687,residential,2.2,0.0,5.646235038863264,False
