site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,status,bts_type,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,power_model_type,power_source_main,power_backup_sources,backup_duration_hr,region_type,coverage_radius_m
BTS_06156,16.498750270004987,107.501248849995,767010.2331514154,1825761.5654773016,2059.6,0.0,active,5G_macro,81.11014941020885,1163364.75,5,89.97503,0,7060.851971748441,7614.813550910571,76.23072548761041,297.27989838867404,2825.030518098799,0.9618846372561948,21.7,Model_1,grid,battery,8,mountain,1000
BTS_03665,16.467083603464975,107.579582183015,775421.8931267431,1822361.0403703272,210243.17,0.0,active,4G_remote,81.11014941020885,1163364.75,7,89.982346,0,855.1787908962689,660.571093074074,6.113267095835039,377.7529702530294,3085.619977743629,0.9969433664520824,34.9,Model_2,grid,battery;generator,28,mountain,2500
BTS_00225,16.358211056129452,107.73629787105904,792327.6632747138,1810526.400649394,17850.52,0.0,active,4G_remote,81.11014941020885,1163364.75,7,89.982346,0,345.685087594242,16302.773454390735,30.60780355683769,1293.5370484774724,3390.679272098959,0.9846960982215812,36.0,Model_2,grid,battery;generator,28,mountain,2500
BTS_01293,16.275833604237548,107.22041551772664,737287.4955477449,1800736.0166922903,4065.99,0.0,active,5G_macro,81.11014941020885,1163364.75,579,89.98939,0,42822.80797012268,38579.08758416327,21.198596921973355,0.0,32780.16869850829,0.9894007015390132,19.7,Model_1,grid,battery,8,mountain,1000
BTS_02343,16.33025027102603,107.75908218262389,794805.3614833789,1807463.3174076225,15823.19,0.0,active,4G_remote,81.11014941020885,1163364.75,7,89.98883,0,251.0997860638313,20209.076440393797,50.76743413485081,911.667680088026,1735.744246680067,0.9746162829325746,34.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_05148,16.40708360370498,107.630415516145,780938.9177506708,1815788.023313352,13456.28,0.0,active,4G_remote,81.11014941020885,1163364.75,20,89.9921,5,7257.862963573561,5826.4209787391255,2.1344170815792167,1718.9849603680204,3434.3571251180288,0.9989327914592104,27.0,Model_2,grid,battery;generator,28,mountain,2500
BTS_00529,16.274877726643165,107.23188611118503,738514.9955765045,1800643.5727536234,9002.23,0.0,active,5G_macro,81.11014941020885,1163364.75,588,89.979866,0,41835.67510315667,37929.52296878351,21.213172759772064,0.0,32287.26603777781,0.989393413620114,24.3,Model_1,grid,battery,8,mountain,1000
BTS_01970,16.506389160617612,107.63083218142512,780840.32412087,1826783.4939265812,5463.78,0.0,active,5G_macro,81.11014941020885,1163364.75,5,89.978165,0,4692.415084487195,5222.248983491049,15.597769226597944,0.0,4192.078330762585,0.9922011153867012,27.1,Model_1,grid,battery,8,mountain,1000
BTS_01256,16.32041693738499,107.772915515575,796299.2403157804,1806394.5874669997,16317.55,0.0,active,4G_remote,81.11014941020885,1163364.75,7,89.99051,0,1755.6473392807247,22026.29180192333,21.75387357574145,2535.403847214747,1989.6373775044613,0.9891230632121292,29.3,Model_2,grid,battery;generator,28,mountain,2500
BTS_05222,16.151250271394982,107.724582182435,791380.4848607432,1787594.1928665969,1496.46,573.1824340820312,active,5G_macro,81.11014941020885,1163364.75,62,89.98953,0,18963.11446174908,35735.72608076398,18.662600626163066,0.0,18236.10700813262,0.9906686996869184,27.8,Model_1,grid,battery,8,mountain,1000
