base_id,power_id,lat,lon,base_name,type,model,runtime_h,cost_vnd_24h,resource_amount
BASE_6,POWER_0001,16.2893818,107.832841,Phu Loc District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0002,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0003,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0004,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0005,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0006,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0007,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0008,16.4401105,107.7120704,Phu Vang District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0009,16.2893818,107.832841,Phu Loc District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0010,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0011,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0012,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0013,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0014,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0015,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0016,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0017,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0018,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0019,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_9,POWER_0020,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_5,POWER_0021,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_5,POWER_0022,16.5820939,107.3626442,Phong Dien Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0023,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0024,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0025,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_2,POWER_0026,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0027,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0028,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_9,POWER_0029,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
