site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,region_type,bts_type,coverage_radius_m,power_W
BTS_03665,16.467083603464975,107.579582183015,775421.8931267431,1822361.040370327,210243.17,0.0,96.07898208383826,858764.1875,7,89.982346,0,855.1787908962689,660.5710930739577,6.113267095835039,377.7529702528893,3085.6199777438346,0.9969433664520825,34.9,mountain,4G_remote,2500,1200
BTS_00256,16.469166936797414,107.57791551628723,775240.8976879844,1822589.4213096523,201728.05,0.0,96.07898208383826,858764.1875,11,89.93634,0,760.3657113575075,542.8616546455353,9.764122170613202,370.46821757059473,2982.200203953712,0.9951179389146934,23.0,mountain,4G_remote,2500,1200
BTS_04012,16.499583603334976,107.584582182995,775909.9625607508,1825966.0926345845,96176.63,0.0,96.07898208383826,858764.1875,2,89.98883,0,2965.958659945088,1975.351329262032,9.872374408807364,301.9908754370429,1181.174443001899,0.9950638127955963,21.9,mountain,4G_remote,2500,1200
BTS_04526,16.432083603604983,107.600415516265,777697.3900178445,1818514.537689453,77791.66,0.0,96.07898208383826,858764.1875,15,89.98727,0,3340.9803151830024,4056.214787089769,160.68378545744227,323.2841600834267,2029.1170541627212,0.9196581072712788,33.3,mountain,4G_remote,2500,1200
BTS_04261,16.50208360374095,107.57916551641313,775327.8496472166,1826235.468824845,76810.98,0.0,96.07898208383826,858764.1875,7,89.9852,0,3333.4004980515874,1861.745097404423,14.391592231670614,520.0302502213189,1813.753977746236,0.9928042038841647,23.4,mountain,4G_remote,2500,1200
BTS_04374,16.502639159198278,107.59347107224143,776855.0655896093,1826316.5829667712,75520.37,0.0,96.07898208383826,858764.1875,6,89.97749,0,2919.986129202189,2918.7061738522707,11.83263110726954,607.8677337156078,1042.1832537629546,0.9940836844463652,37.2,mountain,4G_remote,2500,1200
BTS_00750,16.435416936924987,107.607082182905,778404.9818813363,1818892.7541856936,75191.81,0.0,96.07898208383826,858764.1875,20,89.99491,0,3272.5882178293546,3320.0286250806635,35.34544548427447,480.5982022764091,1228.517662913634,0.9823272772578627,34.4,mountain,4G_remote,2500,1200
BTS_03984,16.503750269984984,107.58791551631501,776260.0851382583,1826431.972621548,74041.11,0.0,96.07898208383826,858764.1875,4,89.95974,0,3214.9536892286437,2554.3361636925915,31.63844602417122,657.7304508916699,1314.6500444863182,0.9841807769879144,27.0,mountain,4G_remote,2500,1200
BTS_06111,16.46625027013498,107.582082183005,775690.1501035781,1822272.1909833648,221841.34,832.0317993164062,96.07898208383826,858764.1875,5,89.99,5,993.1115272959868,930.3306438307046,4.173163038313259,421.4536709975869,3049.5790985534213,0.9979134184808434,28.5,mountain,4G_remote,2500,1200
BTS_04593,16.50333360332743,107.58041551627716,775459.5925520685,1826375.5706023728,72726.5,0.0,96.07898208383826,858764.1875,6,89.98847,0,3521.0583123622337,2045.6806887095838,41.60416734254064,398.37733673975765,1787.932913947883,0.9791979163287297,22.3,mountain,4G_remote,2500,1200
BTS_05590,16.430416936944994,107.59708218294502,777343.585782944,1818325.439539655,70769.64,0.0,96.07898208383826,858764.1875,23,89.994415,0,3428.3406968175727,4432.923089209583,36.63780699844913,338.30508173358345,2429.8480973785254,0.9816810965007754,22.8,mountain,4G_remote,2500,1200
BTS_00166,16.432361384154586,107.60360996267836,778038.3266598773,1818549.680333752,70011.48,0.0,96.07898208383826,858764.1875,18,89.984085,0,3419.757119465696,3814.032836191755,33.37519088143394,456.70348637457374,1708.8334469080257,0.983312404559283,26.6,mountain,4G_remote,2500,1200
BTS_01216,16.43375027028471,107.60624884939224,778318.3163723892,1818707.080932076,68902.05,0.0,96.07898208383826,858764.1875,20,89.99228,0,3393.6026126320257,3521.5059874545514,109.10586532820476,510.15929440046324,1388.229756501969,0.9454470673358977,33.2,mountain,4G_remote,2500,1200
BTS_01755,16.432083603604983,107.574582183035,774937.0793843016,1818479.2505826242,66863.27,0.0,96.07898208383826,858764.1875,34,89.99473,0,3501.77446448177,3858.73603852418,67.14688663056053,307.6720780713938,3010.7945821748795,0.9664265566847198,24.8,mountain,4G_remote,2500,1200
BTS_05808,16.429583603614972,107.59624884961501,777255.7255061745,1818232.0348055153,66051.16,0.0,96.07898208383826,858764.1875,30,89.99523,0,3497.40938021625,4561.150569045469,67.93676912143052,414.8864415089501,2549.923674300813,0.9660316154392847,24.4,mountain,4G_remote,2500,1200
BTS_01668,16.430083604294897,107.5995821828619,777611.190767528,1818291.963447205,64941.34,0.0,96.07898208383826,858764.1875,16,89.982346,0,3533.332370245363,4281.759867949301,62.348186930180084,479.7582818333519,2203.216009524763,0.96882590653491,19.3,mountain,4G_remote,2500,1200
BTS_05498,16.433750270679415,107.56833218312292,774266.9279315504,1818655.2881257636,64608.35,0.0,96.07898208383826,858764.1875,8,89.99297,0,3572.9701350610694,3711.8655565023346,25.822216786215243,320.2870605101796,2355.6464385954205,0.9870888916068924,28.9,mountain,4G_remote,2500,1200
BTS_04174,16.506250270391057,107.59249884969346,776746.0774087199,1826715.052483652,64371.2,0.0,96.07898208383826,858764.1875,5,89.98818,0,3332.8189730170025,3096.3040674612516,63.724438701376066,502.3521709516996,1449.575533125138,0.968137780649312,28.4,mountain,4G_remote,2500,1200
