cow_id,base_id,base_name,type,lat,lon,coverage_radius_m,power_kw,speed_kmh,endurance_hr,cost_vnd,assigned_region
COW_001,BASE_1,Phu Xuan District,heavy,16.4832781,107.5715416,4000,40,50,72,20000000.0,Phu Xuan District
COW_002,BASE_1,Phu Xuan District,standard,16.4832781,107.5715416,2000,20,55,48,15000000.0,Phu Xuan District
COW_003,BASE_1,Phu Xuan District,small,16.4832781,107.5715416,1000,10,60,48,10000000.0,Phu Xuan District
COW_004,BASE_1,Phu Xuan District,small,16.4832781,107.5715416,1000,10,60,48,10000000.0,Phu Xuan District
COW_005,BASE_2,Thuan Hoa District,heavy,16.4626288,107.6022722,4000,40,50,72,20000000.0,Thuan Hoa District
COW_006,BASE_2,Thuan Hoa District,standard,16.4626288,107.6022722,2000,20,55,48,15000000.0,Thuan Hoa District
COW_007,BASE_2,Thuan Hoa District,standard,16.4626288,107.6022722,2000,20,55,48,15000000.0,Thuan Hoa District
COW_008,BASE_2,Thuan Hoa District,small,16.4626288,107.6022722,1000,10,60,48,10000000.0,Thuan Hoa District
COW_009,BASE_2,Thuan Hoa District,small,16.4626288,107.6022722,1000,10,60,48,10000000.0,Thuan Hoa District
COW_010,BASE_2,Thuan Hoa District,small,16.4626288,107.6022722,1000,10,60,48,10000000.0,Thuan Hoa District
COW_011,BASE_3,Huong Tra Town,heavy,16.5254677,107.3312759,4000,40,50,72,20000000.0,Huong Tra Town
COW_012,BASE_3,Huong Tra Town,standard,16.5254677,107.3312759,2000,20,55,48,15000000.0,Huong Tra Town
COW_013,BASE_4,Huong Thuy Town,heavy,16.4233011,107.515289,4000,40,50,72,20000000.0,Huong Thuy Town
COW_014,BASE_4,Huong Thuy Town,standard,16.4233011,107.515289,2000,20,55,48,15000000.0,Huong Thuy Town
COW_015,BASE_4,Huong Thuy Town,small,16.4233011,107.515289,1000,10,60,48,10000000.0,Huong Thuy Town
COW_016,BASE_5,Phong Dien Town,heavy,16.5820939,107.3626442,4000,40,50,72,20000000.0,Phong Dien Town
COW_017,BASE_5,Phong Dien Town,heavy,16.5820939,107.3626442,4000,40,50,72,20000000.0,Phong Dien Town
COW_018,BASE_5,Phong Dien Town,standard,16.5820939,107.3626442,2000,20,55,48,15000000.0,Phong Dien Town
COW_019,BASE_5,Phong Dien Town,small,16.5820939,107.3626442,1000,10,60,48,10000000.0,Phong Dien Town
COW_020,BASE_6,Phu Loc District,heavy,16.2893818,107.832841,4000,40,50,72,20000000.0,Phu Loc District
COW_021,BASE_6,Phu Loc District,heavy,16.2893818,107.832841,4000,40,50,72,20000000.0,Phu Loc District
COW_022,BASE_6,Phu Loc District,heavy,16.2893818,107.832841,4000,40,50,72,20000000.0,Phu Loc District
COW_023,BASE_6,Phu Loc District,standard,16.2893818,107.832841,2000,20,55,48,15000000.0,Phu Loc District
COW_024,BASE_6,Phu Loc District,standard,16.2893818,107.832841,2000,20,55,48,15000000.0,Phu Loc District
COW_025,BASE_6,Phu Loc District,standard,16.2893818,107.832841,2000,20,55,48,15000000.0,Phu Loc District
COW_026,BASE_6,Phu Loc District,small,16.2893818,107.832841,1000,10,60,48,10000000.0,Phu Loc District
COW_027,BASE_6,Phu Loc District,small,16.2893818,107.832841,1000,10,60,48,10000000.0,Phu Loc District
COW_028,BASE_7,Phu Vang District,heavy,16.4401105,107.7120704,4000,40,50,72,20000000.0,Phu Vang District
COW_029,BASE_7,Phu Vang District,standard,16.4401105,107.7120704,2000,20,55,48,15000000.0,Phu Vang District
COW_030,BASE_7,Phu Vang District,standard,16.4401105,107.7120704,2000,20,55,48,15000000.0,Phu Vang District
COW_031,BASE_8,Quang Dien District,heavy,16.5743603,107.508071,4000,40,50,72,20000000.0,Quang Dien District
COW_032,BASE_8,Quang Dien District,standard,16.5743603,107.508071,2000,20,55,48,15000000.0,Quang Dien District
COW_033,BASE_9,A Luoi District,heavy,16.2726766,107.2307293,4000,40,50,72,20000000.0,A Luoi District
COW_034,BASE_9,A Luoi District,heavy,16.2726766,107.2307293,4000,40,50,72,20000000.0,A Luoi District
COW_035,BASE_9,A Luoi District,standard,16.2726766,107.2307293,2000,20,55,48,15000000.0,A Luoi District
COW_036,BASE_9,A Luoi District,small,16.2726766,107.2307293,1000,10,60,48,10000000.0,A Luoi District
