site_id,latitude,longitude,bts_type,power_W,coverage_radius_m,status,pop_covered,pop_unique_covered,utm_x,utm_y,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,region_type,flooded
BTS_01594,16.211250271154984,107.273748850905,4G_remote,1200,2500,active,2744.12,92.76286315917967,743068.9372989498,1793649.9333678542,81.11014941020868,1163364.75,566,89.98953,0,42530.51575479918,41724.64005717592,223.94721774627263,801.6272503952578,36888.06284510116,0.8880263911268637,27.9,mountain,0
BTS_04865,16.604583602914985,107.474582183435,4G_remote,1200,2500,active,4990.4,956.5330810546876,764017.7933528333,1837442.9364818328,81.11014941020868,1163364.75,6,89.98847,0,17064.50702680507,6858.862488173203,82.4722291352723,1024.8742208751594,7944.600848314602,0.958763885432364,36.3,mountain,0
BTS_01094,16.69541693588497,107.358748850565,5G_macro,10000,1000,active,1618.6,0.0,751534.6148485704,1847349.0776999665,81.11014941020868,1163364.75,4,89.95974,5,32629.772114281448,18131.229596545392,2.7963757680582324,0.0,9950.517526196165,0.9986018121159708,27.4,mountain,0
BTS_02844,16.20791693783498,107.692082182565,4G_remote,1200,2500,active,547.03,,787820.3752619051,1793822.5708893624,81.11014941020868,1163364.75,68,89.99104,5,15081.779309209369,28749.79634227963,2.746470168085134,3596.535055960878,13076.016306445974,0.9986267649159576,29.6,mountain,0
BTS_02692,16.230416937744987,107.262915517615,5G_macro,10000,1000,active,2461.66,0.0,741886.8973406056,1795758.6799121085,81.11014941020868,1163364.75,560,89.99126,0,42056.04316074278,40348.345027824005,22.42444274356402,0.0,35502.296401346815,0.988787778628218,24.1,mountain,0
BTS_06457,16.427916936954983,107.724582182435,4G_remote,1200,2500,active,6888.38,37.096824645996094,790971.5747086748,1818227.7226003208,81.11014941020868,1163364.75,6,89.981995,0,8164.988883639635,11140.778143334215,5.025384599716015,1255.446597949,2124.6617391340183,0.997487307700142,33.8,mountain,0
BTS_06383,16.312083604084982,107.781248848875,4G_remote,1200,2500,active,13408.84,0.0,797202.8827556189,1805483.9978174688,81.11014941020868,1163364.75,7,89.9852,0,786.3838577536987,23308.673069271143,6.652909284668815,3728.056073812061,2808.781561782611,0.9966735453576656,31.7,mountain,0
BTS_05654,16.398750270404985,107.817082182065,4G_remote,1200,2500,active,17204.4,0.0,800901.6378010141,1815133.3450385956,81.11014941020868,1163364.75,9,89.99,0,8688.983132169244,21541.76082222567,51.128793065843205,9306.695684088629,11212.99501348236,0.9744356034670784,30.4,mountain,0
BTS_03740,16.413750270344984,107.471248850115,4G_remote,1200,2500,active,1466.45,1.133113980293274,763921.0705259938,1816312.0274655428,81.11014941020868,1163364.75,39,89.97153,0,12010.08037847408,12401.100309644991,45.69681146349287,7223.914678963941,7919.214406727942,0.9771515942682536,24.0,mountain,0
BTS_03778,16.42125027031498,107.579582183015,4G_remote,1200,2500,active,34604.21,0.0,775486.6102800926,1817286.653924268,81.11014941020868,1163364.75,16,89.95499,0,4455.37679686862,5099.118957362523,34.83806517293913,804.3938832055787,4166.292049969597,0.9825809674135304,31.5,mountain,0
BTS_03581,16.440416936904985,107.714582182475,5G_macro,10000,1000,active,2958.07,0.0,789884.38207258,1819597.4166661112,81.11014941020868,1163364.75,4,89.97153,5,9736.547962982166,9740.686977620351,2.7927544432928397,0.0,929.013616167033,0.9986036227783536,20.2,mountain,0
BTS_04926,16.274583604234984,108.00124884799502,5G_macro,10000,1000,active,1701.96,0.0,820790.6371913946,1801664.7476794648,81.11014941020868,1163364.75,5,89.983284,0,12185.61069267406,9280.122388797334,93.65554908733289,229.6779534092732,4888.06001936032,0.9531722254563336,30.1,mountain,0
BTS_02515,16.427083603624983,107.801248848795,4G_macro,5000,1500,active,6794.85,0.0,799165.9077440507,1818247.268798487,81.11014941020868,1163364.75,12,0.0,0,10546.571022955186,19111.014786614254,94.41622523556089,8289.874039592356,8383.730444213517,0.9527918873822196,37.0,rural,0
BTS_04177,16.482916936734984,107.677915515955,4G_remote,1200,2500,active,9318.01,0.0,785904.0294078882,1824250.8558887185,81.11014941020868,1163364.75,7,89.97878,0,8424.593042019593,6162.254589402806,33.43728472728597,2133.546564778576,5406.785513441654,0.983281357636357,32.3,mountain,0
BTS_06439,16.29208360416498,107.692082182565,4G_remote,1200,2500,active,1281.22,0.0,787697.7576513707,1803141.568087396,81.11014941020868,1163364.75,32,89.99138,0,8145.081765248493,19853.245185490687,16.82272131778447,6185.0196243791725,5167.438676684482,0.9915886393411076,34.4,mountain,0
BTS_03869,16.41458360367498,107.659582182695,4G_remote,1200,2500,active,35570.12,0.0,784045.0201774251,1816659.093651056,81.11014941020868,1163364.75,14,89.97503,0,8872.40358968154,6158.188895161175,55.02821041366364,674.9235527660612,3914.1315388260273,0.9724858947931682,30.2,mountain,0
BTS_06396,16.202916937854972,108.110415514225,4G_remote,1200,2500,active,114.25,105.88446044921876,832589.1756409258,1793901.9856730776,81.11014941020868,1163364.75,266,89.99802,0,24886.7937819528,5062.474293117256,22.66349615489049,14030.323545409625,15455.119256526332,0.9886682519225548,39.7,mountain,0
BTS_01090,16.385416937124983,107.691248849235,5G_macro,10000,1000,active,2033.65,0.0,787471.9924237349,1813474.3917376064,81.11014941020868,1163364.75,14,89.98499,0,5900.080652297807,10794.302802768516,57.75871511248747,1859.292361186116,0.0,0.9711206424437564,34.5,mountain,0
BTS_06007,16.454583603514976,107.717082182465,5G_macro,10000,1000,active,1616.09,0.0,790130.4434364096,1821169.5973481373,81.11014941020868,1163364.75,5,89.981995,0,11212.127532262311,9790.716582505918,118.87903742954248,256.1597131390262,212.85695321168575,0.9405604812852288,25.5,mountain,0
BTS_02535,16.582083603004982,107.372082183845,5G_macro,10000,1000,active,3467.96,22.131637573242188,753105.9637990982,1834819.8523433085,81.11014941020868,1163364.75,10,89.95974,0,23524.95463363612,8048.492214676688,32.35099910796323,0.0,219.86625809042425,0.9838245004460184,22.1,mountain,0
BTS_03456,16.453750270184987,107.730415515745,5G_macro,10000,1000,active,1655.47,0.0,791556.3343753483,1821096.5244477908,81.11014941020868,1163364.75,9,89.982346,0,10943.553009985815,11218.430247998102,29.51618063011148,1434.1977775802316,623.982901625783,0.9852419096849444,24.5,mountain,0
BTS_00649,16.392083603764984,107.780415515545,4G_remote,1200,2500,active,8237.97,,796992.6521149322,1814341.062067852,81.11014941020868,1163364.75,6,89.984085,5,6218.355533984103,18151.96580581798,4.198567697271249,5414.678919168195,8366.401812864631,0.9979007161513644,30.2,mountain,0
