site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,region_type,bts_type,coverage_radius_m,power_W,flooded,status
BTS_01594,16.211250271154984,107.273748850905,743068.9372989498,1793649.9333678542,2744.12,92.76286315917967,81.11014941020868,1163364.75,566,89.98953,0,42530.51575479918,41724.64005717592,223.94721774627263,801.6272503952578,36888.06284510116,0.8880263911268637,27.9,mountain,4G_remote,2500,1200,0,active
BTS_04865,16.604583602914985,107.474582183435,764017.7933528333,1837442.9364818328,4990.4,956.5330810546876,81.11014941020868,1163364.75,6,89.98847,0,17064.50702680507,6858.862488173203,82.4722291352723,1024.8742208751594,7944.600848314602,0.958763885432364,36.3,mountain,4G_remote,2500,1200,0,active
BTS_01094,16.69541693588497,107.358748850565,751534.6148485704,1847349.0776999665,1618.6,0.0,81.11014941020868,1163364.75,4,89.95974,5,32629.772114281448,18131.229596545392,2.7963757680582324,0.0,9950.517526196165,0.9986018121159708,27.4,mountain,5G_macro,1000,10000,0,active
BTS_02844,16.20791693783498,107.692082182565,787820.3752619051,1793822.5708893624,547.03,,81.11014941020868,1163364.75,68,89.99104,5,15081.779309209369,28749.79634227963,2.746470168085134,3596.535055960878,13076.016306445974,0.9986267649159576,29.6,mountain,4G_remote,2500,1200,0,active
BTS_02692,16.230416937744987,107.262915517615,741886.8973406056,1795758.6799121085,2461.66,0.0,81.11014941020868,1163364.75,560,89.99126,0,42056.04316074278,40348.345027824005,22.42444274356402,0.0,35502.296401346815,0.988787778628218,24.1,mountain,5G_macro,1000,10000,0,active
BTS_06457,16.427916936954983,107.724582182435,790971.5747086748,1818227.7226003208,6888.38,37.096824645996094,81.11014941020868,1163364.75,6,89.981995,0,8164.988883639635,11140.778143334215,5.025384599716015,1255.446597949,2124.6617391340183,0.997487307700142,33.8,mountain,4G_remote,2500,1200,0,active
BTS_06383,16.312083604084982,107.781248848875,797202.8827556189,1805483.9978174688,13408.84,0.0,81.11014941020868,1163364.75,7,89.9852,0,786.3838577536987,23308.673069271143,6.652909284668815,3728.056073812061,2808.781561782611,0.9966735453576656,31.7,mountain,4G_remote,2500,1200,0,active
BTS_05654,16.398750270404985,107.817082182065,800901.6378010141,1815133.3450385956,17204.4,0.0,81.11014941020868,1163364.75,9,89.99,0,8688.983132169244,21541.76082222567,51.128793065843205,9306.695684088629,11212.99501348236,0.9744356034670784,30.4,mountain,4G_remote,2500,1200,0,active
BTS_03740,16.413750270344984,107.471248850115,763921.0705259938,1816312.0274655428,1466.45,1.133113980293274,81.11014941020868,1163364.75,39,89.97153,0,12010.08037847408,12401.100309644991,45.69681146349287,7223.914678963941,7919.214406727942,0.9771515942682536,24.0,mountain,4G_remote,2500,1200,0,active
BTS_03778,16.42125027031498,107.579582183015,775486.6102800926,1817286.653924268,34604.21,0.0,81.11014941020868,1163364.75,16,89.95499,0,4455.37679686862,5099.118957362523,34.83806517293913,804.3938832055787,4166.292049969597,0.9825809674135304,31.5,mountain,4G_remote,2500,1200,0,active
