site_id,i_ref,latitude,longitude,pop,priority_category,priority_weight,slope,dist_to_road_m,in_water
J_00000,I_00688,16.470828921881164,107.60955399746234,63062.1196680069,residential,9.7,0.0,23.17136663697496,False
J_00001,I_00131,16.470362127018827,107.55930326094062,26416.333993434906,residential,3.7,0.0,5.534362001746153,False
J_00002,I_00131,16.47424359958971,107.55772818698266,25768.657903194427,residential,3.7,0.0,15.677426705126368,False
J_00003,I_00310,16.49348337564258,107.59002065245971,24887.108765125275,residential,2.2,0.0,0.6699157771796345,False
J_00004,I_00131,16.478745441146955,107.55129534455035,24585.672936677933,residential,3.7,0.0,4.347495452662725,False
J_00005,I_00251,16.487027304858945,107.54731760776494,20348.982740163803,residential,3.7,0.0,3.493693222096047,False
J_00006,I_00097,16.532160339026593,107.44578496129934,18824.23548221588,residential,3.7,0.0,4.7676051041899346,False
J_00007,I_00450,16.476934281241164,107.53317577214605,18078.579563379288,residential,3.7,0.0,0.5457742214331175,False
J_00008,I_00097,16.54063239867831,107.44448001783373,16618.71745109558,residential,3.7,0.0,7.104048049615088,False
J_00009,I_00204,16.531547558962664,107.69012324181722,14928.809437513351,normal,1.0,0.0,102.55900740988751,False
J_00010,I_00474,16.52738878877641,107.68921427085154,14914.13125705719,normal,1.0,0.0,480.393372445092,False
J_00011,I_00204,16.53789357129583,107.68082715522365,14796.655879735947,normal,1.0,0.0,68.92007960441558,False
J_00012,I_00474,16.524835706155326,107.69309264998253,13776.42483663559,normal,1.0,0.0,251.31418293081782,False
J_00013,I_00237,16.2729315745512,107.87292622951324,13133.77503323555,hospitals,6.0,0.0,10.596774857791344,False
J_00014,I_00469,16.52317642712633,107.701478157211,13054.202625513077,normal,1.0,0.0,8.250150327378195,False
J_00015,I_00671,16.564129718701782,107.59382455637665,12037.175362110138,residential,2.2,0.0,14.566925146751617,False
J_00016,I_00130,16.55503728513068,107.61353852963491,11869.640726566315,residential,2.2,0.0,0.4141954468575606,False
J_00017,I_00719,16.56802006575831,107.61796670815579,11075.49726986885,residential,2.2,0.0,6.295328042924251,False
J_00018,I_00450,16.493997607340088,107.53193954239707,9981.117197990417,residential,3.7,0.0,3.304337982254603,False
J_00019,I_00300,16.543546895491804,107.42583058377517,9130.351595640182,residential,3.7,0.0,358.19144146744196,False
J_00020,I_00160,16.242503801359586,107.24540511744841,9068.75068473816,residential,2.2,0.0,9.703590331857162,False
J_00021,I_00638,16.45055723769587,107.72225686630698,8792.308318138123,residential,5.7,0.0,203.94334489795352,False
J_00022,I_00315,16.504833393469443,107.6291677934963,8455.779472351074,residential,2.2,0.0,7.086701603576015,False
J_00023,I_00745,16.57986665656081,107.58768387995443,8443.489245891571,normal,1.0,0.0,27.568689417579577,False
J_00024,I_00160,16.23991207988329,107.25090001724132,8348.494019269943,residential,2.2,0.0,6.468871968327698,False
