site_id,i_ref,latitude,longitude,pop,priority_category,priority_weight,slope,dist_to_road_m,in_water
J_00000,I_00729,16.47134789609258,107.58007531356454,134935.07610750198,command_centers_clean,12.7,0.0,3.321553007335228,False
J_00001,I_00729,16.468692291930772,107.5827618082179,134047.81117391586,command_centers_clean,12.7,0.0,1.799376139471509,False
J_00002,I_00702,16.463486781531703,107.58294076823518,133265.4794011116,command_centers_clean,12.7,0.0,183.80539285332404,False
J_00003,I_00729,16.474044715921494,107.57985251777963,131530.9938569069,command_centers_clean,12.7,0.0,34.27303054167223,False
J_00004,I_00729,16.4736603281524,107.57762628154381,130286.83273935318,command_centers_clean,12.7,0.0,0.1573315150325869,False
J_00005,I_00770,16.466861573243758,107.58797731531321,129647.7462258339,command_centers_clean,12.7,0.0,63.41712202684147,False
J_00006,I_00702,16.46805020167821,107.573617895512,128312.54950094223,command_centers_clean,12.7,0.0,12.57428574063382,False
J_00007,I_00702,16.4602688988975,107.57565107521016,127751.66871881485,command_centers_clean,12.7,0.0,113.30225240058355,False
J_00008,I_00702,16.46708139288302,107.56979014846291,112423.0251250267,command_centers_clean,12.7,0.0,0.26348273876585915,False
J_00009,I_00729,16.48105409527196,107.56065112977673,57770.503512859344,command_centers_clean,12.7,0.0,1.1033358481588,False
J_00010,I_01027,16.463534922516974,107.61848004635053,46911.27671670914,command_centers_clean,12.7,0.0,21.321051106434453,False
J_00011,I_01027,16.440324119473985,107.60700111853724,40262.56811904907,command_centers_clean,12.7,0.0,3.7061495217718057,False
J_00012,I_00169,16.564433844629175,107.62606935409083,16581.726176261902,residential_clean,2.2,0.0,406.4690964624784,False
J_00013,I_00825,16.563392043349,107.62193864809429,15048.426464557648,residential_clean,2.2,0.0,451.03198330336073,False
J_00014,I_00702,16.46885769095857,107.53911744719417,14833.527387142181,command_centers_clean,12.7,0.0,8.828041169652522,False
J_00015,I_00967,16.562468356657128,107.6196518549161,14140.02383518219,residential_clean,2.2,0.0,325.23441786440577,False
J_00016,I_00054,16.259080117314856,107.23846439046261,12872.742105007172,residential_clean,5.2,0.0,6.44220328675303,False
J_00017,I_00967,16.556668486358753,107.61689850064175,12137.381932258606,residential_clean,2.2,0.0,396.66740056703696,False
J_00018,I_00169,16.568095871969078,107.61820559011642,10813.505991458893,residential_clean,2.2,0.0,23.147132957512387,False
J_00019,I_00319,16.537651786478254,107.64096096155315,10203.959980010986,residential_clean,2.2,0.0,114.17029710328438,False
J_00020,I_00642,16.570640341424095,107.60041421355231,7609.481559753418,residential_clean,2.2,0.0,309.85056164091475,False
J_00021,I_00621,16.55403852169699,107.44274695055454,7117.076035499573,residential_clean,2.2,0.0,1.766302941843798,False
J_00022,I_00738,16.47540204857264,107.62711823851036,6203.758638381958,residential_clean,2.2,0.0,34.777187970428045,False
J_00023,I_00642,16.581811432869042,107.59567855510767,6090.582175254822,residential_clean,2.2,0.0,7.955184124262598,False
J_00024,I_00621,16.56159390935151,107.45433557339284,5683.744800567627,residential_clean,2.2,0.0,0.8801246888725982,False
J_00025,I_00428,16.66085589364543,107.45745559754984,5158.427015304565,residential_clean,2.2,0.0,16.596438320704546,False
J_00026,I_00428,16.658535720498804,107.46840760241008,5005.734317302704,residential_clean,2.2,0.0,1.7395566188120655,False
J_00027,I_01182,16.563492320672115,107.46512953040687,4378.543079376221,residential_clean,2.2,0.0,3.632432596540141,False
J_00028,I_00702,16.45112903986532,107.52996041013601,4333.389503479004,command_centers_clean,12.7,0.0,7.1695869743325575,False
J_00029,I_00859,16.631286868989648,107.51109363642763,4189.951062202454,residential_clean,2.2,0.0,1.0051769680841673,False
J_00030,I_00614,16.46493267078481,107.66682586563431,3988.328956604004,residential_clean,2.2,0.0,3.1729440953820016,False
J_00031,I_00738,16.485072105428234,107.62522454142835,3781.98046207428,residential_clean,2.2,0.0,7.910044901894664,False
J_00032,I_00318,16.480590213299834,107.7302336352036,3588.576114177704,normal,1.0,0.0,1620.544590382565,False
J_00033,I_00134,16.62059959736645,107.5136995925961,3522.2309465408325,residential_clean,2.2,0.0,392.6217565177191,False
J_00034,I_01104,16.237744682724554,107.25260761411424,3344.500783443451,residential_clean,5.2,0.0,20.780311801204665,False
J_00035,I_00589,16.17882415898833,107.7029018245752,3215.660402774811,residential_clean,2.2,0.0,70.15415540023356,False
J_00036,I_00351,16.60212874784849,107.52429643277675,3119.074415206909,residential_clean,2.2,0.0,363.286348984646,False
J_00037,I_00428,16.65999416658333,107.45099174439879,3063.383816719055,residential_clean,2.2,0.0,28.670921013782827,False
J_00038,I_00365,16.641677378552195,107.44264367117503,3011.9294023513794,residential_clean,2.2,0.0,446.9822941537216,False
