site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,power_model_type,power_source_main,power_backup_sources,backup_duration_hr,region_type,bts_type,coverage_radius_m
BTS_04349,16.67958360261498,107.40708218370501,756712.5153857383,1845657.9176293015,2478.72,0.0,81.11014941020885,1163364.75,7,89.978165,0,28003.7796946263,14577.883072397779,12.908582162404524,18.87850912317641,8798.4961561409,0.9935457089187978,21.7,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_06156,16.498750270004987,107.50124884999501,767010.2331514154,1825761.5654773016,2059.6,0.0,81.11014941020885,1163364.75,5,89.97503,0,7060.851971748441,7614.813550910571,76.23072548761041,297.27989838867404,2825.030518098799,0.9618846372561948,21.7,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_01337,16.499583603334983,107.492915516695,766119.0277182107,1825842.7986681638,18159.23,0.0,81.11014941020885,1163364.75,7,89.98763,0,7929.67131043584,8046.073670030145,62.821524084765436,853.633677073327,2028.5136799314241,0.9685892379576173,35.4,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_04618,16.386666937127384,107.5754155162973,775090.0139265833,1813452.1548827656,5524.98,0.0,81.11014941020885,1163364.75,11,89.978165,0,8296.54425508376,8887.911605978981,13.040148498362978,4628.859480555729,7136.803582616002,0.9934799257508186,30.5,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_03549,16.527916936554973,107.519582183255,768928.0047567384,1829014.9920872876,3804.24,0.0,81.11014941020885,1163364.75,5,89.98818,0,7369.502209082343,7160.18879139134,9.287589485416321,291.8859771264828,4792.890715685781,0.9953562052572918,29.6,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_00650,16.311250270754982,107.790415515505,798184.3473723198,1805405.120439861,10279.39,0.0,81.11014941020885,1163364.75,7,89.99272,0,205.9492166407407,24080.855040819,15.168228369749336,4650.388862300931,3793.217293044068,0.9924158858151253,35.6,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_01375,16.565833603077603,107.32958218395378,748589.8765887289,1832967.861881337,476.31,0.0,81.11014941020885,1163364.75,16,89.98847,5,26838.987718211094,11962.115384184017,0.4206529131193027,0.0,4783.143913093014,0.9997896735434404,27.9,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_00104,16.475416937812806,107.69274884854941,787499.7518398348,1823441.5238622082,7921.39,0.0,81.11014941020885,1163364.75,6,89.909966,0,9984.307230551723,7388.424959042852,43.0361048656955,3446.6763911243825,3681.894611936836,0.9784819475671522,23.9,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_06469,16.41875027032498,107.530415516545,770236.3943355246,1816943.604290048,3909.76,0.0,81.11014941020885,1163364.75,46,89.99595,5,6829.66895250617,7038.211487590609,0.15494796871614475,2302.3411796090704,3651.7717196486433,0.9999225260156419,26.8,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_02566,16.593750269624984,107.422915516975,758517.0787282591,1836176.2422075102,654.09,138.10491943359375,81.11014941020885,1163364.75,10,0.0,0,19832.42265883217,5000.787332381451,7.457532450685844,1101.8958463071558,3051.700726479341,0.9962712337746571,39.2,Model_2,grid,battery;generator,28,rural,4G_macro,1500
BTS_01215,16.548750269804987,107.46208218348501,762759.2774536675,1831245.3817591567,6027.64,0.0,81.11014941020885,1163364.75,9,89.983284,0,13447.00499475031,2312.209106769457,13.371553139102046,0.0,3055.260055958099,0.993314223430449,25.7,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_05530,16.424583603634982,107.69291551589501,787592.5246766119,1817813.3697434503,23698.78,0.0,81.11014941020885,1163364.75,7,89.979866,0,9001.822586076094,8166.8036267399375,20.976272333203564,1309.8422872561914,3118.290619640137,0.9895118638333982,33.4,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_04183,16.322916937374984,107.77791551555501,796830.0941276194,1806678.6908233904,15578.21,0.0,81.11014941020885,1163364.75,7,89.982346,0,1741.8007315126404,22222.15264182303,5.944410834942678,2979.234503897351,2584.754289871682,0.9970277945825287,30.2,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_03665,16.467083603464975,107.579582183015,775421.8931267431,1822361.0403703272,210243.17,0.0,81.11014941020885,1163364.75,7,89.982346,0,855.1787908962689,660.571093074074,6.113267095835039,377.7529702530294,3085.6199777436295,0.9969433664520825,34.9,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_00225,16.358211056129452,107.73629787105905,792327.6632747138,1810526.4006493941,17850.52,0.0,81.11014941020885,1163364.75,7,89.982346,0,345.685087594242,16302.773454390735,30.607803556837695,1293.5370484774724,3390.679272098959,0.9846960982215811,36.0,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_00292,16.391666937520878,107.71166551581514,789644.972056686,1814195.460073054,13698.96,0.0,81.11014941020885,1163364.75,10,89.99117,0,4849.509698666835,11875.23705646551,53.56479913888736,548.3134702542352,1072.9332180326767,0.9732176004305563,19.9,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_00985,16.657916936034983,107.382915517135,754162.5423411168,1843228.4203053892,1557.63,0.0,81.11014941020885,1163364.75,6,89.98994,0,27832.07732362738,13253.085448899483,114.66798345118973,108.77706691008792,5745.6576187092,0.9426660082744052,29.4,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_04710,16.41875027032498,107.800415515465,799089.611523388,1817323.2811531764,17511.4,0.0,81.11014941020885,1163364.75,9,89.97749,5,9805.625923412232,19219.420013268253,0.4352034815021009,7885.138101088047,8620.92441772147,0.999782398259249,25.9,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_00391,16.547916937586876,107.53041551671005,770057.0815258014,1831243.728230772,13324.7,0.0,81.11014941020885,1163364.75,7,89.95499,0,8667.000076574139,8046.617867890569,38.15667654528,790.0166799498098,6386.134758723221,0.98092166172736,22.2,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_03086,16.25583360431753,107.244582184296,739895.5163211691,1798550.4608677016,2643.88,650.7628784179688,81.11014941020885,1163364.75,569,89.96817,0,41887.75669373108,38907.48341083035,38.456783473113866,0.0,33599.46689993276,0.9807716082634431,27.5,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_01293,16.275833604237548,107.22041551772664,737287.4955477449,1800736.0166922903,4065.99,0.0,81.11014941020885,1163364.75,579,89.98939,0,42822.80797012268,38579.08758416327,21.198596921973355,0.0,32780.16869850829,0.9894007015390133,19.7,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_02343,16.33025027102603,107.75908218262387,794805.3614833789,1807463.3174076222,15823.19,0.0,81.11014941020885,1163364.75,7,89.98883,0,251.09978606383132,20209.076440393794,50.76743413485081,911.6676800880261,1735.744246680067,0.9746162829325746,34.1,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_03496,16.50291693665498,107.72708218242501,791126.6151570829,1826535.711551495,4284.8,0.0,81.11014941020885,1163364.75,3,89.909966,0,13951.60895898445,11860.956219286294,122.54674612608913,5712.0254955745395,5515.368810721792,0.9387266269369554,24.3,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_06168,16.488750270044985,107.40624885037501,756876.9819126886,1824531.0639699819,1019.1,0.0,81.11014941020885,1163364.75,5,89.969986,0,16812.780261780852,7905.502569517486,39.19499256790811,94.6266210832025,5537.00786603035,0.980402503716046,23.4,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_03053,16.333750270664982,107.749582182335,793784.399533768,1807837.1180460246,3279.32,0.0,81.11014941020885,1163364.75,4,0.0,0,1145.8526981334046,19222.6978030581,55.356271762011936,74.68193218735158,1610.006388146505,0.972321864118994,28.0,Model_1,grid,battery,8,urban,5G_macro,1000
BTS_01247,16.389166937117196,107.84374884855022,803766.8397398265,1814111.9303639566,15465.33,0.0,81.11014941020885,1163364.75,4,89.99138,0,5662.154547532345,24581.625460999378,32.07521496928483,7849.3175810444145,8228.4186346125,0.9839623925153576,30.9,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_00539,16.100416938671835,107.38416551718859,755020.52770181,1781515.0434608553,916.1,10.174362182617188,81.11014941020885,1163364.75,486,89.95499,0,45155.279230941516,45342.128291371155,42.193752207743074,0.0,42161.353052456165,0.9789031238961284,25.7,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_05148,16.40708360370498,107.630415516145,780938.9177506708,1815788.023313352,13456.28,0.0,81.11014941020885,1163364.75,20,89.9921,5,7257.862963573561,5826.4209787391255,2.1344170815792167,1718.9849603680204,3434.3571251180288,0.9989327914592104,27.0,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_05442,16.36041693722498,107.912915515015,811206.163707383,1811033.0635061832,1039.39,0.0,81.11014941020885,1163364.75,9,89.982346,0,2064.2129395358975,22400.975204320966,90.01318792010582,866.9088095970593,761.2659851008644,0.9549934060399471,30.9,Model_2,grid,battery;generator,28,mountain,5G_macro,1000
BTS_06437,16.147083604744985,107.73874884904501,792902.6575467774,1787152.966342985,1251.23,13.513071060180664,81.11014941020885,1163364.75,71,89.99424,0,18913.070203746072,36648.78892673898,7.365961007536089,0.0,18490.263075262897,0.996317019496232,23.1,Model_1,grid,battery,8,mountain,5G_macro,1000
BTS_01033,16.440416936924386,107.78458218199975,797364.4471544904,1819699.0890639024,15486.45,0.0,81.11014941020885,1163364.75,11,89.98714,0,10747.5129070485,17120.057735340295,62.37070556418342,7147.756015130638,6305.859178869582,0.9688146472179083,32.5,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
BTS_01241,16.61291693621498,107.556248849775,772723.982875216,1838474.994418991,2884.67,2.5944957733154297,81.11014941020885,1163364.75,13,89.99527,0,15147.327196477805,14037.513768379518,117.30008858846563,491.74732953056406,11245.137187740771,0.9413499557057672,24.9,Model_2,grid,battery;generator,28,mountain,4G_remote,2500
