cow_id,site_id,base_id,base_name,type,lat,lon,coverage_radius_m,power_kw,speed_kmh,endurance_hr,cost_vnd,assigned_region,total_cost_vnd,travel_time_hr,setup_time_h,total_time_hr
COW_001,J_00527,BASE_1,Phu Xuan District,heavy,16.4832781,107.5715416,4000,40,50,72,20000000.0,Phu Xuan District,20077865.20190764204,0.6770887122403656,0.5,1.1770887122
COW_002,J_00594,BASE_1,Phu Xuan District,standard,16.1659196,107.5715416,2000,20,55,48,15000000.0,Phu Xuan District,15068117.71525083041,0.5384799624571575,0.5,1.0384799625
COW_026,J_00312,BASE_6,Phu Xuan District,small,16.1621033,107.7090716,1000,10,60,48,10000000.0,Phu Loc District,10044534.43602136971,0.32271330450267904,0.5,0.8227133045
COW_027,J_00615,BASE_6,Phu Xuan District,small,16.2736614,107.9727898,1000,10,60,48,10000000.0,Phu Loc District,10044534.43602136971,0.32271330450267904,0.5,0.8227133045
COW_006,J_00868,BASE_2,Thuan Hoa District,standard,16.4626288,107.6022722,2000,20,55,48,15000000.0,Thuan Hoa District,15086908.72666563647,0.687025507238233,0.5,1.1870255072
COW_008,J_00713,BASE_2,Thuan Hoa District,small,16.5057018,107.6255391,1000,10,60,48,10000000.0,Thuan Hoa District,10012405.898808281314,0.09807034631052422,0.5,0.59807034631
COW_009,J_00716,BASE_2,Thuan Hoa District,small,16.5143335,107.6429159,1000,10,60,48,10000000.0,Thuan Hoa District,10016559.034360722206,0.11999300261392902,0.5,0.61999300261
COW_019,J_00280,BASE_5,Thuan Hoa District,small,16.6985392,107.3810678,1000,10,60,48,10000000.0,Phong Dien Town,10030120.939354153423,0.21826767647937262,0.5,0.71826767647
COW_025,J_00822,BASE_6,Phu Loc District,standard,16.2893818,107.832841,2000,20,55,48,15000000.0,Phu Loc District,15057153.3405954456,0.45180506399561743,0.5,0.951805064
COW_031,J_00462,BASE_8,Quang Dien District,heavy,16.5743603,107.508071,4000,40,50,72,20000000.0,Quang Dien District,20116761.10670478347,1.0153139713459431,0.5,1.5153139713
