base_id,power_id,bts_id,lat,lon,base_name,type,model,runtime_h,cost_vnd_24h,resource_amount,total_cost_vnd,total_time_hr
BASE_6,POWER_0002,BTS_01256,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,107531.9361767295,0.1549821558446988
BASE_6,POWER_0006,BTS_01280,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,97638.493397514085,0.0782758150229424
BASE_6,POWER_0016,BTS_00171,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,129031.54835105422,0.292468750434317
BASE_2,POWER_0003,BTS_00166,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,102785.870837848675,0.0932880714542497
BASE_2,POWER_0051,BTS_05498,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,110805.312945370024,0.132781018514348
BASE_8,POWER_0005,BTS_02063,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,99816.54900287827,0.0411376250011361
BASE_9,POWER_0020,BTS_02188,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0,1714287.43719761113,0.1153440223624128
BASE_9,POWER_0044,BTS_01625,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0,1725742.11218626943,0.1024180797197033
BASE_5,POWER_0022,BTS_01325,16.5820939,107.3626442,Phong Dien Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,161643.49541057514,0.2880646141913139
BASE_5,POWER_0018,BTS_00845,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0,1740241.86640994862,0.21641127060308213
BASE_2,POWER_0026,BTS_04914,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,122749.772230428935,0.1589374053705867
BASE_2,POWER_0131,BTS_04374,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6,110755.40678915904,0.1195937101598689
BASE_9,POWER_0029,BTS_02321,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0,1728381.94150918597,0.1600283314269536
