cow_id,type,base_id,assigned_site_index,assigned_site_id,coverage_radius_m,cost_vnd,travel_cost_vnd,total_cost_vnd,travel_time_hr,setup_time_h,deployment_time_hr
COW_001,heavy,BASE_1,31,J_00030,4000,20000000.0,154835.96133923723,20154835.96133924,1.3463996638194542,0.5,1.8463996638194542
COW_002,heavy,BASE_1,83,J_00082,4000,20000000.0,22102.408118215422,20022102.408118214,0.1921948532018732,0.5,0.6921948532018732
COW_003,standard,BASE_1,1,J_00000,2000,15000000.0,7153.728096213183,15007153.728096213,0.0565512102467445,0.5,0.5565512102467445
COW_004,standard,BASE_1,21,J_00020,2000,15000000.0,43653.75752668924,15043653.75752669,0.3450889923058438,0.5,0.8450889923058438
COW_005,small,BASE_1,58,J_00057,1000,10000000.0,84237.07508002031,10084237.07508002,0.6104135875363791,0.5,1.110413587536379
COW_006,small,BASE_1,50,J_00049,1000,10000000.0,103219.93448765068,10103219.93448765,0.7479705397655845,0.5,1.2479705397655845
COW_007,heavy,BASE_2,13,J_00012,4000,20000000.0,202262.94817263685,20202262.948172636,1.758808244979451,0.5,2.258808244979451
COW_008,standard,BASE_2,73,J_00072,2000,15000000.0,124310.12557540876,15124310.125575408,0.9826887397265514,0.5,1.4826887397265514
COW_009,standard,BASE_2,14,J_00013,2000,15000000.0,224814.0288766248,15224814.028876625,1.777185999024702,0.5,2.2771859990247023
COW_010,small,BASE_2,49,J_00048,1000,10000000.0,253601.11690649524,10253601.116906496,1.8376892529456177,0.5,2.3376892529456175
COW_011,small,BASE_2,38,J_00037,1000,10000000.0,225150.16958147625,10225150.169581477,1.631522967981712,0.5,2.131522967981712
COW_012,heavy,BASE_3,26,J_00025,4000,20000000.0,60004.78067687492,20060004.780676875,0.5217807015380428,0.5,1.021780701538043
COW_013,standard,BASE_3,43,J_00042,2000,15000000.0,29824.819047487952,15029824.819047488,0.2357693205335016,0.5,0.7357693205335016
COW_014,standard,BASE_3,33,J_00032,2000,15000000.0,183152.53937104688,15183152.539371047,1.4478461610359437,0.5,1.9478461610359437
COW_015,heavy,BASE_4,61,J_00060,4000,20000000.0,105628.08389694976,20105628.08389695,0.9185050773647804,0.5,1.4185050773647805
COW_016,standard,BASE_4,62,J_00061,2000,15000000.0,129054.3731512741,15129054.373151274,1.0201926731326016,0.5,1.5201926731326016
COW_017,standard,BASE_4,36,J_00035,2000,15000000.0,154810.55396540818,15154810.553965408,1.223798845576349,0.5,1.723798845576349
COW_018,small,BASE_4,63,J_00062,1000,10000000.0,247467.78543925504,10247467.785439255,1.7932448220235873,0.5,2.2932448220235875
COW_019,heavy,BASE_5,9,J_00008,4000,20000000.0,29447.32139119121,20029447.32139119,0.2560636642712279,0.5,0.756063664271228
COW_020,standard,BASE_5,47,J_00046,2000,15000000.0,49262.53635040123,15049262.536350401,0.3894271648253061,0.5,0.889427164825306
