cow_id,type,base_id,assigned_site_index,assigned_site_id,coverage_radius_m
COW_001,heavy,BASE_1,24,J_00023,4000
COW_002,heavy,BASE_1,9,J_00008,4000
COW_003,standard,BASE_1,12,J_00011,2000
COW_004,standard,BASE_1,4,J_00003,2000
COW_005,small,BASE_1,26,J_00025,1000
COW_006,small,BASE_1,31,J_00030,1000
COW_007,heavy,BASE_2,8,J_00007,4000
COW_008,standard,BASE_2,64,J_00063,2000
COW_009,standard,BASE_2,20,J_00019,2000
COW_010,small,BASE_2,18,J_00017,1000
COW_011,small,BASE_2,25,J_00024,1000
COW_012,heavy,BASE_3,35,J_00034,4000
COW_013,standard,BASE_3,34,J_00033,2000
COW_014,standard,BASE_3,42,J_00041,2000
COW_015,heavy,BASE_4,66,J_00065,4000
COW_016,standard,BASE_4,57,J_00056,2000
COW_017,standard,BASE_4,15,J_00014,2000
COW_018,small,BASE_4,14,J_00013,1000
COW_019,heavy,BASE_5,41,J_00040,4000
COW_020,standard,BASE_5,47,J_00046,2000
