cow_id,type,base_id,assigned_site_index,assigned_site_id,coverage_radius_m,cost_vnd,travel_cost_vnd,total_cost_vnd,travel_time_hr,setup_time_h,deployment_time_hr
COW_001,heavy,BASE_1,24,J_00023,4000,20000000.0,40668.73366051897,20040668.73366052,0.3536411622653823,0.5,0.8536411622653823
COW_002,heavy,BASE_1,9,J_00008,4000,20000000.0,15616.18559189556,20015616.185591895,0.1357929181903961,0.5,0.6357929181903961
COW_003,standard,BASE_1,12,J_00011,2000,15000000.0,32703.97570158434,15032703.975701584,0.2585294521864374,0.5,0.7585294521864374
COW_004,standard,BASE_1,4,J_00003,2000,15000000.0,10471.669798526162,15010471.669798527,0.0827799984073214,0.5,0.5827799984073214
COW_005,small,BASE_1,26,J_00025,1000,10000000.0,35323.51471601027,10035323.51471601,0.2559674979421034,0.5,0.7559674979421034
COW_006,small,BASE_1,31,J_00030,1000,10000000.0,154835.96133923723,10154835.961339237,1.121999719849545,0.5,1.621999719849545
COW_007,heavy,BASE_2,8,J_00007,4000,20000000.0,158181.52106070908,20158181.52106071,1.3754914874844268,0.5,1.8754914874844268
COW_008,standard,BASE_2,64,J_00063,2000,15000000.0,53165.00940464499,15053165.009404644,0.4202767541869169,0.5,0.9202767541869169
COW_009,standard,BASE_2,20,J_00019,2000,15000000.0,9370.550136533748,15009370.550136534,0.0740754951504644,0.5,0.5740754951504644
COW_010,small,BASE_2,18,J_00017,1000,10000000.0,180653.35415830015,10180653.3541583,1.3090822765094217,0.5,1.8090822765094217
COW_011,small,BASE_2,25,J_00024,1000,10000000.0,171904.32475178334,10171904.324751783,1.2456835126940822,0.5,1.7456835126940822
COW_012,heavy,BASE_3,35,J_00034,4000,20000000.0,7484.714780640876,20007484.71478064,0.0650844763533989,0.5,0.5650844763533989
COW_013,standard,BASE_3,34,J_00033,2000,15000000.0,31153.702897948737,15031153.70289795,0.2462743312090809,0.5,0.7462743312090809
COW_014,standard,BASE_3,42,J_00041,2000,15000000.0,33365.86394074693,15033365.863940747,0.2637617702825844,0.5,0.7637617702825844
COW_015,heavy,BASE_4,66,J_00065,4000,20000000.0,128214.53665434995,20128214.53665435,1.1149090143856517,0.5,1.6149090143856517
COW_016,standard,BASE_4,57,J_00056,2000,15000000.0,15139.301033087017,15015139.301033087,0.119678269036261,0.5,0.619678269036261
COW_017,standard,BASE_4,15,J_00014,2000,15000000.0,120566.70593536536,15120566.705935365,0.9530964896076314,0.5,1.4530964896076313
COW_018,small,BASE_4,14,J_00013,1000,10000000.0,91502.94504268929,10091502.945042688,0.6630648191499223,0.5,1.1630648191499224
COW_019,heavy,BASE_5,41,J_00040,4000,20000000.0,33291.598120667884,20033291.598120667,0.2894921575710251,0.5,0.7894921575710251
COW_020,standard,BASE_5,47,J_00046,2000,15000000.0,49262.53635040123,15049262.536350401,0.3894271648253061,0.5,0.889427164825306
