site_id,latitude,longitude,coverage_radius_m,pop_in_buffer
BTS_06156,16.498750270004987,107.501248849995,1000.0,1797.46044921875
BTS_03665,16.467083603464975,107.579582183015,2500.0,196365.28125
BTS_00225,16.358211056129452,107.73629787105904,2500.0,17049.927734375
BTS_01293,16.275833604237548,107.22041551772664,1000.0,3806.982666015625
BTS_02343,16.33025027102603,107.75908218262389,2500.0,14896.8046875
BTS_05148,16.40708360370498,107.630415516145,2500.0,11858.23828125
BTS_00529,16.274877726643165,107.23188611118503,1000.0,8793.017578125
BTS_01970,16.506389160617612,107.63083218142512,1000.0,5378.94921875
BTS_01256,16.32041693738499,107.772915515575,2500.0,15951.78125
BTS_05222,16.151250271394982,107.724582182435,1000.0,1225.3306884765625
BTS_04407,16.457083603504987,107.769582182255,2500.0,8284.423828125
BTS_03616,16.36458360387498,107.71874884912502,2500.0,18050.13671875
BTS_05987,16.34875027060498,107.507082183305,2500.0,5418.6787109375
BTS_04240,16.077083605024985,107.487915516715,2500.0,114.11199951171875
BTS_05654,16.398750270404967,107.817082182065,2500.0,15852.4267578125
BTS_03926,16.35375027058499,107.482082183405,2500.0,3159.8955078125
BTS_05033,16.323750270704977,107.780415515545,2500.0,14451.9697265625
BTS_06487,16.56625026973498,107.542082183165,1000.0,1548.721435546875
BTS_03195,16.516250269934982,107.316248850735,1000.0,1127.3179931640625
BTS_06057,16.37041693718498,107.705415515845,2500.0,12872.9169921875
BTS_00678,16.51041693662498,107.556248849775,2500.0,24428.994140625
BTS_06230,16.394583603754977,107.839582181975,2500.0,15084.33984375
BTS_03245,16.567083603064983,107.342915517295,1000.0,653.2225341796875
BTS_05825,16.291250270834983,108.003748847985,2500.0,6608.1884765625
BTS_01605,16.43458360518882,107.59023032984425,1000.0,11619.123046875
BTS_04879,16.397083603744978,107.662915516015,2500.0,19186.884765625
BTS_02270,16.39791693707498,107.785415515525,2500.0,8529.505859375
BTS_04812,16.507916936634984,107.506248849975,2500.0,20783.744140625
BTS_05982,16.178750271284983,107.694582182555,2500.0,3584.615478515625
BTS_06099,16.46458360347498,107.557082183105,1000.0,19757.77734375
BTS_03015,16.731250269495934,107.39749885046857,300.0,64.12890625
BTS_00831,16.36430582652712,107.53485996057393,2500.0,2331.029052734375
BTS_04703,16.38375027046498,107.56791551639502,2500.0,4554.39208984375
BTS_05860,16.49041693670498,107.475415516765,1000.0,1781.705322265625
BTS_00662,16.145416939173177,107.74041551588452,1000.0,1110.4375
BTS_00830,16.199583604534983,107.711248849155,2500.0,2913.8046875
BTS_04871,16.358750270564983,107.15374885138502,1000.0,451.875732421875
BTS_06386,16.333750270664975,107.669582182655,2500.0,1400.2655029296875
BTS_02777,16.528750269884984,107.501248849995,2500.0,20717.97265625
BTS_02733,16.07875027168498,107.354582183915,1000.0,689.0814208984375
BTS_00101,16.37291693717498,107.722082182445,1000.0,3948.182861328125
BTS_03251,16.536250269854982,107.571248849715,2500.0,18084.658203125
BTS_05369,16.444583603554978,107.617915516195,1000.0,12761.587890625
BTS_03991,16.44625027021498,107.532915516535,1000.0,5101.05517578125
BTS_03773,16.459583603494977,107.678748849285,2500.0,6290.2412109375
BTS_01542,16.482361381500116,107.6423599609342,1000.0,5920.5771484375
BTS_03869,16.41458360367498,107.659582182695,2500.0,34485.625
BTS_05342,16.561250269754986,107.505415516645,2500.0,19550.3203125
BTS_03813,16.55791693643498,107.470415516785,1000.0,2585.22314453125
BTS_05973,16.41458360367498,107.667082182665,1000.0,13192.669921875
BTS_00565,16.43902804917454,107.78972106865692,2500.0,14754.712890625
BTS_05950,16.26291693761498,107.935415514925,2500.0,9243.396484375
BTS_00449,16.373750270504978,107.813748848745,2500.0,5677.81884765625
BTS_03494,16.473750270104983,107.513748849945,2500.0,17591.5859375
BTS_03132,16.28625027085498,107.697082182545,2500.0,1655.556884765625
BTS_03067,16.40625027037498,107.647915516075,2500.0,18935.8671875
BTS_03677,16.297083604144976,107.394582183755,1000.0,522.4203491210938
BTS_00963,16.39875027040498,107.772915515575,2500.0,8831.61328125
BTS_03215,16.314583604074976,107.778748848885,2500.0,14001.0576171875
BTS_00140,16.476401789523962,107.55575642748624,1000.0,16926.693359375
BTS_04043,16.47541693676497,107.625415516165,1000.0,1726.411376953125
BTS_04914,16.504305825971773,107.6223599602201,1000.0,3414.89453125
BTS_04485,16.525139159215545,107.31735996144022,1000.0,961.1475830078125
BTS_04663,16.497083603760778,107.47749885015064,1000.0,2952.990234375
BTS_06040,16.39458360375498,107.619582182855,2500.0,4293.97509765625
BTS_05553,16.494583603354982,107.483748850065,1000.0,3266.85205078125
BTS_00245,16.447916937200898,107.57562384960936,1000.0,25388.52734375
BTS_03660,16.348750270604974,107.141248851435,1000.0,1164.192138671875
BTS_01269,16.4495836035548,107.56624884955508,1000.0,13622.44921875
BTS_02283,16.49291693669498,107.655415516045,1000.0,497.78851318359375
BTS_06427,16.562916936414975,107.537082183185,1000.0,1599.670166015625
BTS_05853,16.570416936384984,107.46041551682502,1000.0,1613.11669921875
BTS_01364,16.42208360364498,107.594582182955,2500.0,27521.11328125
BTS_01633,16.272916937574976,107.93791551491502,2500.0,8527.9443359375
BTS_04028,16.3254169377771,107.732498849137,1000.0,986.5924072265625
BTS_01668,16.430083604294897,107.5995821828619,2500.0,55072.078125
BTS_00017,16.475302879921582,107.56800849429013,1000.0,36033.75
BTS_00149,16.563750269744983,107.454582183515,1000.0,1681.1309814453125
BTS_04494,16.266250270934982,107.710415515825,2500.0,1915.5858154296875
BTS_04252,16.45125027019499,107.572082183045,1000.0,18375.2109375
BTS_01961,16.562916936832195,107.39083218382848,1000.0,1065.197509765625
BTS_06398,16.35375027058497,107.717915515795,2500.0,15853.6767578125
BTS_04269,16.42000027032739,107.58374884959709,2500.0,28666.84375
BTS_04684,16.116666938207235,107.62874884941589,2500.0,3097.56689453125
BTS_02066,16.24541693768497,107.220415517785,1000.0,1144.404296875
BTS_06357,16.097916938274984,107.387915517115,1000.0,710.5887451171875
BTS_05143,16.365416937204984,107.737082182385,2500.0,15710.7158203125
BTS_01926,16.692916935894978,107.408748850365,2500.0,6617.88916015625
BTS_04729,16.41875027032498,107.642082182765,2500.0,24744.58203125
BTS_06328,16.110416938224976,107.408748850365,1000.0,489.6836853027344
BTS_02470,16.39875027040498,107.673748849305,2500.0,25301.7421875
BTS_01096,16.414583603674984,107.549582183135,2500.0,3755.171630859375
BTS_06432,16.368750270524988,107.817082182065,2500.0,5416.50732421875
BTS_06431,16.70041693586498,107.440415516905,2500.0,1174.75537109375
BTS_02699,16.565416936404983,107.554582183115,1000.0,2805.65234375
BTS_03366,16.614583602874983,107.461248850155,1000.0,1184.9775390625
BTS_04629,16.685000269267597,107.41624885027149,1000.0,3471.7626953125
BTS_00018,16.49131971520533,107.57888774092729,1000.0,16060.62109375
BTS_02224,16.262083604284978,107.919582181655,2500.0,5748.61474609375
BTS_00786,16.532083603224777,107.62458218265095,2500.0,9997.923828125
BTS_04761,16.703750269184976,107.432082183605,1000.0,414.3462829589844
BTS_06445,16.38125027047498,107.694582182555,1000.0,1702.75634765625
BTS_01731,16.36791693719498,107.727082182425,2500.0,19332.41796875
BTS_04190,16.46708360346499,107.64541551608502,1000.0,3893.99560546875
BTS_06479,16.43041693694499,107.52374884990502,2500.0,8286.015625
BTS_04046,16.282083604616258,107.93333218167196,2500.0,6525.18505859375
BTS_06476,16.547916936474987,107.410415517025,1000.0,937.1160278320312
BTS_04337,16.292083604164976,107.78708218218502,2500.0,5653.71875
BTS_01317,16.482639159280065,107.49263773931104,2500.0,9703.904296875
BTS_06352,16.28541693752498,107.936248848255,2500.0,5716.958984375
BTS_05663,16.479583603414984,107.666248849335,2500.0,9508.8857421875
BTS_01325,16.492083603364986,107.374582183835,2500.0,3207.19482421875
BTS_03396,16.536250269854982,107.502082183325,2500.0,16996.3515625
BTS_02150,16.418750270324978,107.700415515865,2500.0,15837.908203125
BTS_05193,16.137916938114973,107.687082182585,2500.0,4723.4111328125
BTS_03997,16.286250270854985,108.007915514635,2500.0,6286.27734375
BTS_05919,16.493750270024982,107.379582183815,1000.0,745.9522094726562
BTS_06354,16.38458360379498,107.716248849135,1000.0,3615.407958984375
BTS_01506,16.50708360330497,107.603748849585,2500.0,45422.05078125
BTS_03214,16.407083603704983,107.766248848935,2500.0,9830.9619140625
BTS_06429,16.575416936364988,107.501248849995,1000.0,3844.753173828125
BTS_04162,16.246250271014983,107.936248848255,2500.0,4564.9794921875
BTS_01147,16.41958360365498,107.543748849825,2500.0,5138.87451171875
BTS_01865,16.267083604264986,108.058748847765,2500.0,2861.85009765625
BTS_05979,16.42625027029497,107.682082182605,2500.0,31638.99609375
BTS_05273,16.417083603664988,107.67958218261502,1000.0,12344.94921875
BTS_00997,16.591250269634983,107.511248849955,1000.0,2783.23388671875
BTS_00590,16.52994074739739,107.47255837434425,1000.0,4850.63232421875
BTS_05257,16.297916937474984,107.211248851155,1000.0,692.3551635742188
BTS_06428,16.360416937224983,107.607915516235,2500.0,2499.3564453125
BTS_03877,16.463750270144978,107.430415516945,2500.0,372.52447509765625
BTS_00889,16.423333603647333,107.67291551590476,1000.0,8315.0439453125
BTS_06393,16.71208360248499,107.378748850485,1000.0,717.0929565429688
BTS_00479,16.322916937374973,107.779582182215,2500.0,14782.138671875
BTS_00273,16.527083603224984,107.380415517145,1000.0,768.2205200195312
BTS_05849,16.20875027116498,107.691248849235,2500.0,509.0556640625
BTS_02844,16.20791693783498,107.692082182565,2500.0,527.7774658203125
BTS_05096,16.406250270374983,107.667915515995,1000.0,8124.26025390625
BTS_06138,16.125416938164975,107.672082182645,2500.0,5134.5029296875
BTS_06360,16.35458360391499,107.722082182445,2500.0,18351.28125
BTS_04503,16.31708360406498,107.762915515615,1000.0,2460.720458984375
BTS_06423,16.338750270644983,107.74791551567502,1000.0,2814.86083984375
BTS_03180,16.37125027051499,107.74291551569502,2500.0,11597.029296875
BTS_05592,16.516250269934982,107.49458218335502,2500.0,23444.83984375
BTS_06403,16.31125027075498,107.19291551789502,1000.0,848.5279541015625
BTS_02515,16.427083603624986,107.801248848795,1500.0,6433.265625
BTS_06335,16.09958360493498,107.355415517245,1000.0,942.347412109375
BTS_02958,16.566250270152317,107.47166551684046,1000.0,1759.583251953125
BTS_00031,16.432268793878386,107.78472107611071,2500.0,17186.330078125
BTS_04646,16.35750027057716,107.87708218174934,2500.0,11463.02734375
