cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,85,16.464370635173076,107.58817005608124,4000.0,349376.78125,234908.9375,20006325.635427605,0.5550055255
COW_002,0,16.472721047842814,107.58520926946088,2000.0,127029.9375,124343.015625,15007768.157750398,0.5614083617
COW_005,84,16.46447575708445,107.58814723487158,4000.0,349250.0625,235048.328125,20004532.315151785,0.5394114361
COW_006,79,16.464352095322308,107.5881486237415,2000.0,150145.859375,126469.40625,15004532.315151785,0.5358285783
COW_007,89,16.464461217875186,107.58816214945621,2000.0,150318.125,126954.2265625,15004532.315151785,0.5358285783
COW_008,99,16.464708124334017,107.59350368460765,1000.0,43634.1875,40871.921875,10003213.567870747,0.5232867237010685
COW_009,96,16.464679880948406,107.59353451965882,1000.0,43656.4921875,40834.19140625,10003213.567870747,0.5232867237010685
COW_010,98,16.464664311609297,107.59355151780818,1000.0,43725.20703125,40736.5234375,10003213.567870747,0.5232867237010685
COW_013,725,16.44144245569221,107.52366417530857,4000.0,37515.98828125,8952.2978515625,20005074.134849828,0.544122911737624
COW_020,792,16.273636782886193,107.86558158522222,4000.0,15821.01953125,5779.185546875,20011501.96929569,0.6000171243103661
COW_021,967,16.273611338298807,107.8656597401301,4000.0,15828.2763671875,5781.01025390625,20011501.96929569,0.6000171243103661
COW_022,742,16.273604251425937,107.86568150797575,4000.0,15828.2763671875,5781.01025390625,20011501.96929569,0.6000171243103661
COW_025,517,16.28695574817929,107.83507009083446,2000.0,1726.3392333984375,35.471771240234375,15002690.34056895,0.521267514379054
COW_028,650,16.411915101215715,107.69458226303104,4000.0,47444.2890625,6063.9697265625,20009588.173013844,0.5833754175116713
COW_031,361,16.58367025605213,107.52116740528979,4000.0,26921.861328125,13780.4306640625,20003996.77235904,0.534754542252533
COW_032,344,16.58364188406099,107.5211825926499,2000.0,15325.435546875,10380.02734375,15003995.447948484,0.5315845687627123
COW_033,8,16.24914709978052,107.23812803379454,4000.0,22510.6484375,15892.484375,20006285.826602153,0.5546593617578652
COW_034,169,16.276678353561245,107.20393790406754,4000.0,16910.65234375,13113.7724609375,20006656.444463797,0.5578821257721616
COW_035,127,16.27506832581875,107.21918835641338,2000.0,13809.8681640625,11824.3017578125,15002898.59209193,0.5229137714777063
