power_id,bts_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
POWER_0002,BTS_01256,16.2893818,107.832841,2500.0,2482.76025390625,158.25161743164062,107531.9361767295,0.1549821558446988
POWER_0006,BTS_01280,16.2893818,107.832841,2500.0,2482.76025390625,158.25161743164062,97638.49339751407,0.0782758150229424
POWER_0016,BTS_00171,16.2893818,107.832841,2500.0,2482.76025390625,158.25161743164062,129031.54835105423,0.292468750434317
POWER_0003,BTS_00166,16.4626288,107.6022722,2500.0,159414.15625,113573.9296875,102785.87083784868,0.0932880714542497
POWER_0051,BTS_05498,16.4626288,107.6022722,2500.0,159414.15625,113573.9296875,110805.31294537002,0.132781018514348
POWER_0005,BTS_02063,16.5743603,107.508071,2500.0,21447.330078125,10201.87109375,99816.54900287828,0.0411376250011361
POWER_0020,BTS_02188,16.2726766,107.2307293,1000.0,9386.75390625,9256.9375,1714287.4371976112,0.1153440223624128
POWER_0044,BTS_01625,16.2726766,107.2307293,1000.0,9386.75390625,9256.9375,1725742.1121862694,0.1024180797197033
POWER_0022,BTS_01325,16.5820939,107.3626442,2500.0,8046.5068359375,4519.56494140625,161643.49541057515,0.2880646141913139
POWER_0018,BTS_00845,16.5820939,107.3626442,2500.0,8046.5068359375,4519.56494140625,1740241.8664099486,0.2164112706030821
POWER_0026,BTS_04914,16.4626288,107.6022722,1000.0,47589.7578125,29406.607421875,122749.77223042892,0.1589374053705867
POWER_0131,BTS_04374,16.4626288,107.6022722,2500.0,159414.15625,113573.9296875,110755.40678915904,0.1195937101598689
POWER_0029,BTS_02321,16.2726766,107.2307293,1000.0,9386.75390625,9256.9375,1728381.941509186,0.1600283314269536
POWER_0030,BTS_04427,16.4233011,107.515289,2500.0,3436.66650390625,3.582969903945923,133348.40182823807,0.1345338977929545
POWER_0033,BTS_00460,16.5743603,107.508071,2500.0,21447.330078125,10201.87109375,174568.709241405,0.3817328993856531
POWER_0038,BTS_02881,16.5743603,107.508071,2500.0,21447.330078125,10201.87109375,121647.14983994416,0.2400115545824694
POWER_0060,BTS_06086,16.4401105,107.7120704,2500.0,8433.73046875,1.619107961654663,140701.6143349235,0.3943567364989869
POWER_0062,BTS_03742,16.4832781,107.5715416,1000.0,26942.73046875,25808.306640625,107110.55595341147,0.0639196640261547
POWER_0064,BTS_02723,16.2893818,107.832841,2500.0,2482.76025390625,158.25161743164062,126581.70081915947,0.2195678310074465
POWER_0065,BTS_01246,16.4626288,107.6022722,2500.0,159414.15625,113573.9296875,201436.3369072312,0.4753185349470587
POWER_0073,BTS_03660,16.2726766,107.2307293,1000.0,9386.75390625,9256.9375,1755534.2744302559,0.3222257235026079
POWER_0081,BTS_02115,16.2726766,107.2307293,2500.0,15655.958984375,14370.224609375,1720299.280930784,0.1650070792886231
POWER_0090,BTS_05083,16.4401105,107.7120704,2500.0,8433.73046875,1.619107961654663,130886.29390290951,0.3132736546693061
POWER_0092,BTS_04028,16.2893818,107.832841,1000.0,1082.7845458984375,0.0,134153.5903258298,0.2716044447828293
POWER_0107,BTS_06347,16.2893818,107.832841,2500.0,2482.76025390625,158.25161743164062,172743.87798089377,0.440234994691393
POWER_0110,BTS_03665,16.4832781,107.5715416,2500.0,134290.171875,116118.453125,95373.7430556483,0.0595670078510076
POWER_0117,BTS_03056,16.4832781,107.5715416,2500.0,134290.171875,116118.453125,123487.378295431,0.1368844564370926
POWER_0118,BTS_01184,16.2893818,107.832841,2500.0,2482.76025390625,158.25161743164062,156424.7909063553,0.3999913868937189
POWER_0122,BTS_01345,16.4626288,107.6022722,1000.0,47589.7578125,29406.607421875,131455.203837331,0.211209438731178
POWER_0147,BTS_06428,16.4626288,107.6022722,2500.0,159414.15625,113573.9296875,129048.22586360008,0.3104610042756743
POWER_0124,BTS_05326,16.5743603,107.508071,2500.0,21447.330078125,10201.87109375,114366.71479272576,0.1933990221438868
POWER_0134,BTS_03614,16.5743603,107.508071,1000.0,6303.87890625,189.07579040527344,121964.11764422012,0.2561601761344923
POWER_0011,BTS_06211,16.4401105,107.7120704,2500.0,8433.73046875,1.619107961654663,111825.4355917673,0.1783218355156841
POWER_0135,BTS_00851,16.4401105,107.7120704,2500.0,8433.73046875,1.619107961654663,110560.74824154124,0.1531068776761105
POWER_0141,BTS_03393,16.5743603,107.508071,1000.0,6303.87890625,189.07579040527344,128039.4117282172,0.3063473881327291
POWER_0136,BTS_06413,16.5743603,107.508071,1000.0,6303.87890625,189.07579040527344,110020.29417887956,0.0991783098455685
POWER_0150,BTS_06472,16.2726766,107.2307293,1000.0,9386.75390625,9256.9375,1710098.0260775797,0.0807358435447624
