cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,970,16.500415324680603,107.55628806037709,4000.0,133126.21875,127420.1015625,20005762.031300772,0.5501046200067279
COW_002,665,16.506209306235963,107.46024282176575,2000.0,9500.3310546875,5979.912109375,15027916.015853588,0.72067996722
COW_005,2,16.476612443166175,107.61697908524522,4000.0,211775.03125,156535.046875,20005079.357511654,0.544168326188307
COW_006,168,16.450526897878444,107.59437215815932,2000.0,129295.0390625,99160.28125,15003651.546050994,0.528865976687701
COW_007,82,16.371024865375475,107.62673529260412,2000.0,765.0571899414062,765.0571899414062,15024184.006905114,0.69117792019
COW_017,654,16.649302232098567,107.41142303748816,4000.0,14101.8525390625,13459.3037109375,20020936.680582177,0.68205809201
COW_011,869,16.50478572620982,107.3531007943609,4000.0,6920.017578125,4191.3212890625,20007524.300306983,0.5654286983215906
COW_018,12,16.532142792810944,107.44581790711622,2000.0,11342.298828125,10865.93359375,15024060.9962436,0.6902055039
COW_013,628,16.42856886885367,107.52952112286371,4000.0,27172.09375,22889.240234375,20003742.203108687,0.5325408965972751
COW_016,61,16.596567414121292,107.34185740206931,4000.0,8724.51171875,5720.822265625,20006297.598386712,0.5547617251018628
COW_020,635,16.273687947264246,107.8654244300688,4000.0,15808.9345703125,14404.515625,20011378.982796535,0.5989476764916218
COW_021,646,16.14793617724659,107.69492344221993,4000.0,14319.84765625,11626.71484375,20049554.65969728,0.93091008432
COW_028,798,16.461671381425838,107.70557296933896,4000.0,16442.8671875,7308.5244140625,20007307.34204773,0.563542104762868
COW_023,940,16.3067032587902,108.00623061753573,2000.0,4095.31982421875,3804.629150390625,15042792.046979455,0.83827705122
COW_031,673,16.541699632556714,107.5029959017035,4000.0,45754.31640625,9082.08984375,20011103.969687372,0.596556258151049
COW_034,814,16.251956621564045,107.24048086434499,4000.0,22645.73828125,19259.248046875,20005814.849514473,0.5505639088214938
COW_035,66,16.32330399516508,107.1726294071447,2000.0,1603.91015625,1174.3809814453125,15019262.596157081,0.6522734874
COW_036,58,16.27500692006145,107.21925996509819,1000.0,2768.19580078125,2768.19580078125,10002878.117885523,0.5208559267
COW_012,942,16.494022846481982,107.44213984924528,2000.0,4697.41162109375,4683.2138671875,15028348.891452799,0.72410190871
COW_019,855,16.66772941626297,107.4762587312578,1000.0,2911.845703125,2911.845703125,10035423.757205116,0.75669389279
COW_015,716,16.6249803805797,107.52225245579608,1000.0,2115.11669921875,1965.6014404296875,10051607.389376748,0.87396658968
COW_029,667,16.362132367230547,107.7273411933343,2000.0,15555.302734375,15518.798828125,15020291.650398172,0.66040830354
COW_030,934,16.348646242289746,107.74207347245306,2000.0,11872.921875,10721.2470703125,15024522.761427576,0.69385582156
