site_id,latitude,longitude,coverage_radius_m,pop_in_buffer
BTS_01594,16.211250271154984,107.273748850905,2500.0,2410.94287109375
BTS_04865,16.604583602914985,107.474582183435,2500.0,4678.00634765625
BTS_01094,16.69541693588497,107.358748850565,1000.0,1599.345703125
BTS_02844,16.20791693783498,107.692082182565,2500.0,527.7774658203125
BTS_02692,16.230416937744987,107.262915517615,1000.0,2302.06689453125
BTS_06457,16.427916936954983,107.724582182435,2500.0,6159.435546875
BTS_06383,16.312083604084982,107.781248848875,2500.0,12551.3984375
BTS_05654,16.398750270404985,107.817082182065,2500.0,15852.4267578125
BTS_03740,16.413750270344984,107.471248850115,2500.0,1378.868408203125
BTS_03778,16.42125027031498,107.579582183015,2500.0,31429.017578125
BTS_03581,16.440416936904985,107.714582182475,1000.0,2776.77294921875
BTS_04926,16.274583604234984,108.00124884799502,1000.0,1546.2996826171875
BTS_02515,16.427083603624983,107.801248848795,1500.0,6433.265625
BTS_04177,16.482916936734984,107.677915515955,2500.0,8993.55859375
BTS_06439,16.29208360416498,107.692082182565,2500.0,1180.182373046875
BTS_03869,16.41458360367498,107.659582182695,2500.0,34485.625
BTS_06396,16.202916937854972,108.110415514225,2500.0,104.14276885986328
BTS_01090,16.385416937124983,107.691248849235,1000.0,1891.77490234375
BTS_06007,16.454583603514976,107.717082182465,1000.0,1430.402099609375
BTS_02535,16.582083603004982,107.372082183845,1000.0,3298.5830078125
BTS_03456,16.453750270184987,107.730415515745,1000.0,1548.9892578125
BTS_00649,16.392083603764984,107.780415515545,2500.0,7850.341796875
BTS_05558,16.41125027035498,107.658748849365,2500.0,33570.078125
BTS_00500,16.53875027026165,107.3916655171585,1000.0,598.4915771484375
BTS_06488,16.286250270854975,107.829582182015,2500.0,2558.0009765625
BTS_01269,16.4495836035548,107.56624884955508,1000.0,13622.44921875
BTS_06397,16.434583603594987,107.575415516365,1000.0,11568.25390625
BTS_03493,16.530416936544984,107.507082183305,2500.0,19278.65234375
BTS_03304,16.48291693673499,107.609582182895,1000.0,12858.265625
BTS_00179,16.521250270331322,107.47916551681064,1000.0,8040.6806640625
BTS_05563,16.340416937304983,107.505415516645,2500.0,4628.21142578125
BTS_00316,16.41458360367499,107.626248849495,2500.0,17781.919921875
BTS_01417,16.43875027168476,107.61822801477132,1000.0,12500.1552734375
BTS_04740,16.27208360424497,107.969582181455,2500.0,7243.99072265625
BTS_04503,16.31708360406498,107.762915515615,1000.0,2460.720458984375
BTS_03347,16.32958360401497,107.748748849005,1000.0,3411.3916015625
BTS_05348,16.28375027086498,107.366248850535,2500.0,953.4832763671875
BTS_02870,16.221250271114982,108.092082180965,2500.0,6483.0458984375
BTS_02964,16.399583603734975,107.832915515335,2500.0,15410.427734375
BTS_03298,16.425416937379293,107.67166551604544,1000.0,5966.57958984375
BTS_03194,16.121250271514977,107.400415517065,1000.0,883.5164794921875
BTS_04035,16.169583604654974,107.725415515765,1000.0,4266.787109375
BTS_00013,16.516250269934975,107.715415515805,2500.0,8428.673828125
BTS_06474,16.53208360320498,107.698748849205,2500.0,12853.18359375
BTS_06109,16.24875027100497,108.072915514375,2500.0,5176.2314453125
BTS_04875,16.437083603584984,107.799582182135,2500.0,14356.5283203125
BTS_04778,16.38291693713497,107.834582181995,2500.0,14681.7724609375
BTS_02224,16.262083604284978,107.919582181655,2500.0,5748.61474609375
BTS_06437,16.147083604744985,107.738748849045,1000.0,1227.20556640625
BTS_04646,16.35750027057716,107.87708218174934,2500.0,11463.02734375
BTS_01138,16.281250270874978,108.023748847905,2500.0,3738.6455078125
BTS_00339,16.132916938134983,107.334582183995,1000.0,872.5604858398438
BTS_00492,16.503750269984984,107.472915516775,1000.0,4073.51025390625
BTS_00541,16.414166938397557,107.8216655164484,2500.0,16410.28515625
BTS_05774,16.409583603694983,107.811248848755,2500.0,16734.33984375
BTS_01081,16.452083603524983,107.767915515595,2500.0,9977.5029296875
BTS_06112,16.617083602864984,107.537915516515,1000.0,983.91455078125
BTS_06449,16.367083603864977,107.863748848545,2500.0,12129.01171875
BTS_02877,16.244583604354986,107.218748851125,1000.0,1057.278076171875
BTS_05445,16.572083603044984,107.49458218335502,2500.0,15040.4296875
BTS_04540,16.465416937220144,107.60833218296386,1000.0,27932.119140625
BTS_06349,16.135416938124976,107.629582182815,2500.0,1872.5501708984375
BTS_06178,16.554583603114978,107.452915516855,1000.0,3174.134765625
BTS_03469,16.40958360369498,107.656248849375,2500.0,31496.890625
BTS_04689,16.536250269854982,107.506248849975,2500.0,17074.953125
BTS_02333,16.712083602484984,107.362082183885,1000.0,824.1461181640625
BTS_05744,16.086250271654986,107.364582183875,1000.0,1287.427734375
BTS_01101,16.42333360364724,107.8179155153209,2500.0,15874.087890625
BTS_00273,16.527083603224984,107.380415517145,1000.0,768.2205200195312
BTS_02739,16.38458360379498,107.872082181845,2500.0,9219.0771484375
