cow_id,base_id,assigned_site_index,assigned_site_id
COW_001,BASE_1,4.0,J_00003
COW_002,BASE_1,11.0,J_00010
COW_003,BASE_1,,
COW_004,BASE_1,,
COW_005,BASE_1,25.0,J_00024
COW_006,BASE_1,29.0,J_00028
COW_007,BASE_2,46.0,J_00045
COW_008,BASE_2,42.0,J_00041
COW_009,BASE_2,14.0,J_00013
COW_010,BASE_2,27.0,J_00026
COW_011,BASE_2,16.0,J_00015
COW_012,BASE_3,48.0,J_00047
COW_013,BASE_3,,
COW_014,BASE_3,,
COW_015,BASE_4,,
COW_016,BASE_4,,
COW_017,BASE_4,,
COW_018,BASE_4,53.0,J_00052
COW_019,BASE_5,75.0,J_00074
COW_020,BASE_5,6.0,J_00005
